Station Number,Station Name,State,Latitude,Longitude,Start Year,End Year,Total Observations,Valid Observations,Percentage Complete (from file),Record Length
068241,ALBION PARK (SHELLHARBOUR AIRPORT),NSW,-34.5639,150.7924,1999,2024,440307,361333,83.0,26
061366,NORAH HEAD AWS,NSW,-33.2814,151.5766,1989,2024,608749,485712,80.0,36
069128,NERRIGA AWS,NSW,-35.1103,150.0826,2013,2024,193831,190553,99.0,12
065070,DUBBO AIRPORT AWS,NSW,-32.2206,148.5753,1989,2024,623005,413845,67.0,36
048244,COBAR COMPARISON,NSW,-31.4861,145.8281,2000,2000,14739,3514,60.0,1
074037,YANCO AGRICULTURAL INSTITUTE,NSW,-34.6222,146.4326,1999,2024,437327,320154,75.0,26
065111,COWRA AIRPORT AWS,NSW,-33.8382,148.654,2004,2024,350689,298349,86.0,21
063308,MARRANGAROO (DEFENCE),NSW,-33.4346,150.135,2017,2024,115787,115229,99.0,8
069132,BRAIDWOOD RACECOURSE AWS,NSW,-35.4253,149.7835,1989,2024,623005,448466,73.0,36
061087,GOSFORD (NARARA RESEARCH STATION) AWS,NSW,-33.3949,151.3289,1999,2013,246895,163801,67.0,15
067113,PENRITH LAKES AWS,NSW,-33.7195,150.6783,1996,2024,499885,480505,97.0,29
046143,PACKSADDLE (WESTWOOD DOWNS),NSW,-30.496,141.3335,2017,2024,121602,114723,98.0,8
074023,FINLEY AIRPORT AWS,NSW,-35.6613,145.561,2001,2003,44981,21036,47.0,3
053115,MOREE AERO,NSW,-29.4898,149.8471,1989,2024,623004,493885,80.0,36
060139,PORT MACQUARIE AIRPORT AWS (COMPARISON),NSW,-31.4335,152.8655,1995,2020,442508,331768,75.0,26
066037,SYDNEY AIRPORT AMO,NSW,-33.9465,151.1731,1948,2024,1328268,488463,37.0,77
070349,MOUNT GININI AWS,NSW,-35.5293,148.7721,2004,2024,351466,334635,97.0,21
048247,WANAARING (DELTA AWS),NSW,-30.1006,145.3338,2017,2024,118909,118478,99.0,8
048249,BYROCK (KNIGHTVALE),NSW,-30.4864,146.3283,2017,2024,121638,117713,99.0,8
049000,IVANHOE AERODROME AWS,NSW,-32.8833,144.3092,2000,2024,420343,311078,75.0,25
061430,SINGLETON DEFENCE AWS,NSW,-32.6976,151.1564,2017,2024,127686,125751,99.0,8
046141,MOUNT WOOWOOLARAH,NSW,-31.2554,141.2389,2017,2024,121638,108955,93.0,8
200839,LORD HOWE ISLAND AERO,NSW,-31.5421,159.0786,1994,2024,525776,427776,83.0,31
072162,KHANCOBAN AWS,NSW,-36.2304,148.1405,1996,2024,483277,346507,72.0,29
069139,BEGA AWS,NSW,-36.6722,149.8191,1992,2024,566001,435013,77.0,33
068263,HOLSWORTHY DEFENCE AWS,NSW,-34.081,150.9009,2017,2024,115501,114264,99.0,8
047114,CENTRAL DARLING (TANDOU),NSW,-32.7107,142.1115,2017,2024,121638,101550,86.0,8
068076,NOWRA RAN AIR STATION,NSW,-34.9449,150.545,1989,2000,208427,25354,12.0,12
052088,WALGETT AIRPORT AWS,NSW,-30.0372,148.1223,1997,2024,475933,382463,81.0,28
068151,JERVIS BAY (POINT PERPENDICULAR AWS),NSW,-35.0936,150.8049,2001,2024,405889,305901,76.0,24
066194,CANTERBURY RACECOURSE AWS,NSW,-33.9057,151.1134,1996,2024,499885,483382,97.0,29
049136,EUABALONG (MOUNT HOPE AWS),NSW,-32.8261,145.8801,2017,2024,118910,111224,99.0,8
066195,SYDNEY OLYMPIC PARK (SYDNEY OLYMPIC PK (,NSW,-33.8521,151.0646,1996,2011,274181,262407,96.0,16
075019,HAY AIRPORT AWS,NSW,-34.5412,144.8345,2007,2024,299007,253446,85.0,18
075175,HAY CSIRO AWS,NSW,-34.5471,144.867,1989,2007,321427,111456,36.0,19
058009,BYRON BAY (CAPE BYRON LIGHTHOUSE),NSW,-28.6388,153.6361,1994,2002,147515,6446,6.0,9
061055,NEWCASTLE NOBBYS SIGNAL STATION AWS,NSW,-32.9184,151.7985,2001,2024,398785,367617,93.0,24
058208,CASINO AIRPORT AWS,NSW,-28.8824,153.0618,1995,2024,508237,394973,78.0,30
066059,TERREY HILLS AWS,NSW,-33.6908,151.2253,2004,2024,347293,309423,90.0,21
075174,GRIFFITH CSIRO,NSW,-34.3229,146.0684,1989,2003,258879,89763,35.0,15
061412,COORANBONG (LAKE MACQUARIE AWS),NSW,-33.0887,151.4636,2008,2024,279759,275726,99.0,17
064017,COONABARABRAN AIRPORT AWS,NSW,-31.333,149.2699,2001,2024,403883,347385,87.0,24
062101,MUDGEE AIRPORT AWS,NSW,-32.5628,149.6149,1989,2024,623005,435710,70.0,36
200288,NORFOLK ISLAND AERO,NSW,-29.0389,167.9408,1994,2024,525768,422502,82.0,31
